
name,title,bio
Özgür Karayalçı,Vice President at VLMedia,"Özgür arayalçı is Vice Chair of the Türkiye Oyun Geliºtiricileri Derneğ (TOGED) and Vice President at VLMedia, a company developing mobile applications and gaming experiences for over 150 illion users worldwide  He spent nine years supporting 170+ startups at ODTÜ Teknokent, directing ICT cluster management, before joining VLMedia in 2018.  Yalçı Özdemir"
Yalçı Özdemir,Founder & CEO at AppNation,"Yalçı zdemir is the Founder and CEO of AppNation, a leading Istanbul‑based developer and publisher of AI-powered mobile apps, including Genie, Fotorama, and Arch.  Launched in 2021, the company quickly grew to over 50 team members and has since earned global recognition, most recently claiming the title of “most downloaded app made in Turkiye on the App Store worldwide” for Genie  He was also recently named to the Forbes 30 Under 30 Europe (2025) list, joining visionaries like Mark Zuckerberg and Daniel Ek, making this recognition “a symbol of Turkish youth ambition, talent and global impact.” Mariusz Gasiewski"
Mariusz Gasiewski,CEE Mobile Gaming and Apps Lead at Google,"Mariusz G¹siewski leads Mobile Gaming and Apps for Google in Central and Eastern Europe, where he helps Google’s top clients develop winning strategies in mobile gaming, fintech, sports betting, and real money gaming. With over 17 years at Google, Mariusz blends deep market insight with a data-first mindset—analyzing user behavior and cross-platform trends using both internal and external sources.  Stanislav Stankovic"
Stanislav Stankovic,Senior Game Design Director at Electronic Arts,"With over 13 years in the games industry, Stanislav Stankoviæ is a leading expert in F2P live‑service design, currently serving as Senior Game Design Director at Electronic Arts (EA). His experience spans top studios including Supercell and Rovio, , where he led the creation of core mechanics, metagame economies, and retention-driven systems. Jakub Remiar"
Jakub Remiar,Founder & Host at two & a half gamers,"Jakub has nearly a decade of experience in mobile free-to-play game design and monetization, stemming from his PhD in VR psychology. Today, he consults for game studios and publishers, and co-hosts the Two   alf amers podcast, where he explores product monetization dynamics. John Wright"
John Wright,CEO at Turborilla,"John Wright has been appointed CEO of Turborilla as of June 2025, marking a significant leadership transition for the renowned Swedish studio behind global hits like Mad Skills Motocross and BMX (200 illion+ downloads).  With nearly 15 years in the games industry, his previous role was Vice President of Mobile Games at Kwalee, where he led a global team of 180 and scaled the company past 1 illion downloads Sena Koçer Haseki"
Sena Koçer Haseki,Co-founder & CPO at Pepapp,"Sena Koçer Haseki is the Co‑founder and Chief Product Officer at Pepapp, a Türkiye‑based femtech startup innovating in menstrual health, confidence-building, and wellness. Since launching Pepapp in 2024, she has led the development of mission-driven digital solutions, including a high-impact “Courage” campaign in partnership with Orkid that reached thousands of women and strengthened menstrual health discourse. Joonas Palmgren"
Joonas Palmgren,Design Manager at Grand-Attic,"Joonas P. has been working as Design Manager at Grand‑Attic Ltd., a mobile gaming publisher in Helsinki, since December 2023. Before that role, he was Head of Design at Wonder Hive, and previously served as Lead Designer at Futureplay Games, Lead Game Designer at Wooga, and Head of Design at Ocean View Games.  His background spans product and game design leadership across multiple studios. At Grand‑Attic, Joonas focuses on design strategy and creative vision for mobile titles. Gökçe Nur Oğz  Co-founder & CEO at Boby.ai  Gökçe Nur Oğz is the Co-founder and CEO of Boby.ai, a Türkiye-based startup building AI-powered mobile applications. The company recently secured seed funding to grow its product line and bring user-focused AI tools to a global audience.  Before founding Boby.ai, Gökçe led two successful gaming startups, Playable Factory and Fabrika Games, both of which reached large international user bases. She now brings her experience in rapid product development and global scaling to the AI space. Boby.ai’s flagship app, Mozart.ai, allows users to create personalized music with AI and has surpassed 2.5 million downloads. Cem Elmas"
Cem Elmas,Senior Product Manager at GimmeMore,"Cem Elmas is a Senior Product Manager at GimmeMore GmbH, based in Berlin. He works on product strategy, cross-functional coordination and growth initiatives for GimmeMore’s entertainment platform.  Before joining GimmeMore, he held roles in project management, production and digital growth across media and technology sectors. Cem has over five years of experience shaping user‑driven products and facilitating collaboration across design, engineering and marketing teams. Deniz Kekeç"
Deniz Kekeç,Senior Performance Marketing Manager at InnoGames,"Deniz Kekeç started working at InnoGames in December 2020 as a Performance Marketing Manager, a role she held for 3 years and 2 months before being elevated to Senior Performance Marketing Manager in February 2024, a position she continues to hold today.  She frequently shares insights on narrative-driven UA, payback periods, and ad quality, and is also an ambassador for Women in Games Katerina Burbela"
Katerina Burbela,Senior Business Development Manager at Homa,"Katerina Burbela is Senior Business Development Manager at Homa, a leading publisher in the hypercasual and hybridcasual mobile games space. She works closely with developers to build partnerships, guide product strategy, and bring new titles to global markets.  Before joining Homa, she held business development and publishing roles at companies including Gamigo, Remote Control Productions, and Kevuru Games. She brings years of experience in developer relations, market expansion, and live ops support across the mobile gaming ecosystem. Rana Rahman"
Rana Rahman,Founder & CEO at Raptor PR,"Rana Rahman founded Raptor PR in 2019 as a solo consultancy and grew it into a full-service B2B agency by 2021, specializing in PR and communications for the global games, tech, and emerging tech industries.  The agency delivers creative campaigns, media strategy, and community-building across the US, Europe, and MENA—helping clients cultivate visibility, investor interest, and developer relations Oğz Silahtar"
Oğz Silahtar,Chief AI Officer at Transform Gaming,"Oğz Silahtar is Chief AI Officer at Transform Gaming, where he leads artificial intelligence strategy across a portfolio of social gaming studios, with a focus on value creation, product scalability, and rethinking user acquisition. He also serves as an AI Advisor to Jetapult, supporting advanced architecture and deployment, and as a Venture Partner at 212 VC, where he works closely with early-stage startups in gaming and AI. Yasin Hatiboğu"
Yasin Hatiboğu,Data Analyst at Supercell,"Yasin Hatiboğu is a Data Analyst at Supercell, where he leverages gameplay and marketing metrics to optimize player engagement and growth. He joined Supercell in 2023 after a five-year tenure at Seriously Digital Entertainment, and previously served as Senior Product Manager at Rovio, making him a seasoned voice in mobile games analytics  Erkmen Aydoğu"
Erkmen Aydoğu,General Manager at SciPlay,"Erkmen Aydoğu is the General Manager of SciPlay Türkiye, where he leads the studio’s transformation toward building longer-lasting, engagement-focused mobile titles. His journey began at Alictus in July 2019 as a User Acquisition Manager, where he quickly rose through the ranks: Growth Lead for Marketing, Head of Studio for Product, then VP of Games. Following SciPlay’s acquisition of Alictus, the studio rebranded and transitioned fully into SciPlay Türkiye in 2024, with Erkmen stepping into the role of General Manager.  Over his 5+ years with the team, Erkmen has been a driving force in its evolution—from high-velocity hyper-casual development to a more sustainable, product-first mindset. Can Uçar"
Can Uçar,Strategic Partner Manager at Google,"Uçar currently works as a Strategic Partner Manager in Google’s Apps & Gaming division, based in Dublin, where he advises global publishers and developers on mobile monetization strategies, especially leveraging AdMob for sustainable app and gaming growth.  Prior to joining Google, Can served as a Publishing Manager at Voodoo from May 2020 to April 2021, overseeing hit titles and guiding publishing strategy for leading hyper-casual games. He then spent almost four years at Gybe Games, progressing to lead Product & Strategy, where he shaped the creative and strategic direction of Gybe’s mobile releases . Kirill Murashov"
Kirill Murashov,Head of Monetization at Azur Games,"monetization strategy across a portfolio of globally scaled mobile titles. He has over two years of experience as a product manager and has launched more than five products, with a focus on optimizing revenue performance and player experience.  With a background in physics and a Master’s degree earned with honors, Kirill brings strong analytical skills to his work. He applies a data-driven approach to monetization, user acquisition, and A/B testing, combining technical depth with product thinking to drive measurable results. David Doherty"
David Doherty,Strategic Account Executive at Rive,"Dave Doherty is a Strategic Account Executive at Rive, where he works closely with gaming and tech clients to implement Rive’s interactive animation solutions in their products. Drawing on extensive experience in business development, Dave focuses on building partnerships between Rive and game studios, helping teams use the platform’s animated graphics technology to elevate their mobile games and apps. His industry insight and hands-on support enable developers to create more dynamic, engaging user interfaces.  In his role at Rive, Dave is essentially a bridge between the creative potential of the tool and the strategic goals of game companies looking to improve player engagement through animation. Ayºe Duygu Haykir"
Ayºe Duygu Haykir,Lead Marketing Manager at Codeway,"Ayºe Duygu Haykı is a Senior Marketing Manager for games at Codeway Studios, where she spearheads creative marketing and user acquisition campaigns for the company’s mobile titles. She has a strong background in performance marketing, previously leading digital marketing efforts at AnalyticaHouse and even interning at Coca-Cola early in her career. Duygu’s expertise in data-driven growth and creative strategy has made her a key figure in Turkey’s mobile gaming scene, helping to scale apps to global audiences. Tom Storr"
Tom Storr,Founder at The Experimentation Group,"Tom Storr is a co-founder of The Experimentation Group, a consultancy that helps game studios accelerate growth through data-driven experimentation. He spent seven years at King (makers of Candy Crush Saga) as a Product Lead in the Experimentation team, where he collaborated on hit titles like Bubble Witch Saga and Diamond Digger. During his time at King, Tom introduced features such as “Hard Level Labeling” and the “Piggy Bank” that became industry-standard monetization and retention mechanics. Now, through The Experimentation Group, he applies his hands-on expertise to advise developers on optimizing game design and Live Ops to boost player engagement and revenue. Tod Bouris"
Tod Bouris,Engineering Manager at Rive,"Tod Bouris is an Engineering Manager and Developer Relations Engineer at Rive, a company known for its real-time interactive animation tools. At Rive, Tod works on the cutting edge of 2D animation technology, helping game developers integrate high-quality interactive animations into their projects. With a background in software engineering and a passion for gaming, he bridges the gap between creative design and technical implementation.  Tod’s role involves both managing Rive’s runtime engineering team and supporting the developer community, ensuring that studios can seamlessly use Rive’s powerful animation runtime to enhance their games’ visuals and user experience. Ali Kodal"
Ali Kodal,Co-Founder & COO at Brew Games,"Ali Kodal is the Co-Founder and Chief Operating Officer of Brew Games, a studio specializing in hyper-casual and hybrid-casual mobile games. He brings over a decade of experience in sales and marketing to the gaming industry, having served as a Sales Manager at PUBLIK Digital Agency and a Traffic Coordinator at Fox International Channels before starting Brew Games. At Brew Games, Ali oversees daily operations and growth strategy, leveraging his diverse background to drive the company’s success in the competitive mobile games market. Sarper Uslupehlivan"
Sarper Uslupehlivan,COO at Ace Games,"Sarper Uslupehlivan is the Chief Operating Officer of Ace Games, a fast-growing mobile gaming company based in Istanbul. As COO, he oversees day-to-day operations and strategy for a studio whose vision is to create games enjoyed by players worldwide. Sarper played a pivotal role in Ace Games’ rise, contributing to both product development and business expansion.  With a background in analytics and a talent for team leadership, he ensures that Ace’s titles meet high-quality standards and reach global audiences. Under Sarper’s operational guidance, Ace Games has continued to refine its mobile game portfolio and scale up its international presence in the industry. Iºı Eralp"
Iºı Eralp,Marketing Director at Rovio,"Iºı Eralp is a seasoned marketing leader in the mobile games industry. Until June 2025, she served as Director of Marketing at Ruby Games, the İmir-based studio behind hyper-casual hits like Hunter Assassin, which has surpassed 480 million downloads worldwide. During her time at Ruby, she led global marketing and user acquisition efforts, driving data-driven growth strategies and creative campaigns that turned titles like Hunter Assassin into international successes.  As of June 2025, Iºı has joined Rovio’s Central Marketing team, where she and her team oversee flagship titles such as Angry Birds 2, Angry Birds Dream Blast, as well as upcoming soft launch projects. This role expands her reach in global publishing, connecting her with an even broader network across the gaming ecosystem.  Her leadership has helped solidify Ruby Games’ reputation in hyper-casual gaming and now contributes to Rovio’s continued success in the casual and mid-core space. Beyond her corporate role, Iºı actively shares her expertise as an industry ambassador, encouraging more women to thrive in game marketing and leadership.  Zeynep Ayça Durdular"
Zeynep Ayça Durdular,UA & Marketing Creatives Manager at Unico,"Zeynep Ayça Durdular is a User Acquisition and Marketing Creatives Manager at Unico Studio, the developer of the wildly popular Brain Test mobile puzzle series. At Unico Studio, she leads cross-functional teams in creating high-performing ad creatives and managing campaigns that have contributed to the company’s 1.2 billion+ game downloads globally.  Zeynep’s role involves both the art and science of mobile marketing: designing catchy visuals and videos for ads, as well as analyzing data to optimize performance. Her efforts help ensure that Unico’s puzzle and trivia games (like Brain Test and its sequels) continue to attract and engage players around the world, reinforcing the studio’s status as one of the top mobile game developers Mert ªimºek"
Mert ªimºek,Chief Marketing Officer at Apps,"Mert ªimºek is the co-founder of APPS (Apps Mobile), a mobile gaming startup where he currently spearheads marketing and monetization. As both an iOS developer and a marketing lead, Mert wears multiple hats to ensure his hyper-casual games reach wide audiences while monetizing effectively. Since co-founding the company in 2019, he has been at the forefront of Turkey’s hyper-casual boom, optimizing user acquisition funnels and in-game ad strategies that have driven millions of downloads for APPS’s games.  Mert’s unique blend of technical skill and business savvy has helped transform a small studio into a growing player in the mobile games market. Katerina Maliaran"
Katerina Maliaran,Head of Ad Monetization at Burny Games,"Katerina Maliaran is the Head of Ad Monetization at Burny Games, a Kyiv-based mobile puzzle game studio. Since joining in 2022, she has built the monetization department from the ground up, managing mediation platforms such as MAX, AdMob, and LevelPlay. Her approach combines data-driven decision-making with a strong focus on user experience and long-term retention.  Before entering the games industry, Katerina worked in digital marketing, where she focused on performance campaigns and user acquisition. She now specializes in balancing revenue strategies with compliance, particularly around privacy regulations like GDPR and consent frameworks in mobile gaming. Aliaksei Sasnitski  LiveOps Designer, Producer at Wargaming  Aliaksei Sasnitski is a game designer at Wargaming, known for his creative direction and passion for board game development. He was selected as a judge for the DevGAMM Awards 2024, demonstrating his respected standing in the game design community.  At DevGAMM Vilnius 2024, he led a hands-on workshop titled “Creativity out of nothing: let’s create a new game idea out of thin air,” in which he shared practical methods for generating game ideas and features. Based in Vilnius, he often describes himself as a creative director, board game enthusiast, and developer. Zoran Gjorgiev"
Zoran Gjorgiev,Product Manager at InnoGames,"Zoran Gjorgiev is a Product Manager at InnoGames, currently working on Rise of Cultures. He began his career at the company in quality assurance, contributing to Forge of Empires before transitioning into product management.  With a background in testing and game quality, Zoran now focuses on feature planning, player engagement, and long-term roadmap execution. He also brings experience in team training and has shared insights on gamified approaches to QA and product development. Serkan Özay"
Serkan Özay,Co-Founder & Creative Director at Hero Concept,"Serkan Özay is the Co-Founder and Creative Director of Hero Concept, an Istanbul-based indie studio established in June 2017, known for titles like Doughlings: Arcade, Doughlings: Invasion, and Mayhem Brawler, and currently working on Mayhem Brawler II: Best of Both Worlds, with a Kickstarter campaign launched in early 2025. His career in game development spans back to 2003, beginning as a graphic artist and designer before founding Hero Concept. Alp Geven"
Alp Geven,Co-Founder at Core Engage,"Alp Geven is the co‑founder of Core Engage, an Istanbul‑based indie game developer, and the producer of their debut strategy survival title, New Cycle. The game is currently in Early Access on Steam and has already achieved industry recognition, winning PC Game of the Year at Kristal Piksel 2024 Bilgem Çakı"
Bilgem Çakı,Co-Founder & CTO/CFO at Clay Token,"Bilgem Çakı is the co-founder and CTO/CFO at Clay Token Game Studio, a Seattle- and Ankara-based indie game developer founded in 2018, where he combines executive leadership with hands-on technical direction. Nihan İler"
Nihan İler,Creative Director at Ubik Studios,"Nihan İler is the Creative Director and Co‑Founder of Ubik Studios, founded in Istanbul in 2022 alongside Uğr Canbaz and İmail İiloğu. Trained as a graphic designer at Bahçeºehir University, she also lectures on Game Design Practices and shapes Ubik’s narrative and aesthetic vision across titles like Havsala: Into the Soul Palace and their latest, Leila, a hand‑animated puzzle narrative releasing on PC and consoles in April 025 Osman Erkol"
Osman Erkol,Partner & CEO at 23 Studios,"Osman rkol is Partner and CEO at 23 tudios, a leading Turkish game localization and development firm founded in 2009, serving major clients like EA, Ubisoft, SEGA, CD Projekt, and Netflix and operating from Istanbul and Ankara. Osman is a recognized voice in localization strategy and diversity. Furkan Haksever"
Furkan Haksever,Co-Founder at Red Axe Games,"Furkan Haksever co‑founded Red Axe Games in 2020, serving as CEO and guiding the Turkish indie studio to become a prominent publisher and developer of simulation titles. The studio’s breakout success, Car For Sale Simulator 2023, launched in November 024 on PC and mobile—garnering over 5 million downloads on Android, a 3.9 rating among 118K reviews, and 30K Steam followers with 100K wishlist adds across platforms. Sezer Ömrüm Çetin"
Sezer Ömrüm Çetin,CTO & Game Development Director at Prism Studio,"Sezer Ömrüm Çetin is the CTO and Game Development Director at Prism Studio, where he leads all aspects of technical strategy and game production. Specializing in multiplayer architecture and animation systems, he brings deep expertise in predictive programming with lag compensation (GAS-based), modular gameplay frameworks, and 3Cs design implementation. At Prism, Sezer is responsible for advanced animation systems—including multi-character interactions using IK, Control Rig, Animation Blueprints, and root motion workflows. Ilkan Atalar"
Ilkan Atalar,Co-Founder & CEO at Room Games,"İkan Atalar co-founded Room Games in İmir in 2022, building the studio from a small room into a cinematic indie developer with Unreal Engine–powered projects. Under his leadership, Room Games is launching Recharge, a hyperrealistic multiplayer RC‑car experience set for summer 2025 release. Serdar Baran Ateº"
Serdar Baran Ateº,Head of Operations & Publishing at Devotion Interactive,"Serdar Baran Ateº is a seasoned publishing and operations leader at Devotion Interactive, Turkiye’s emerging PC and console indie game publisher. With nearly 10 years of industry experience, he has overseen publishing efforts on over 300 titles and played a key role in launching Turkish indie games globally via Steam marketing and community support Mertol Altinay"
Mertol Altinay,Founder at Balas Games,"Mertol Altıay is the Founder and Game Producer at Balas Games, an independent game studio based in Istanbul. Founded in 2021, the studio focuses on PC simulation titles. Their debut project, Recycling Center Simulator, reached over 130,000 sales and marked the studio’s transition from mobile to more complex simulation experiences.  Before entering the games industry, Mertol worked in product development and business strategy at Anadolu Isuzu for over 17 years. Today, he leads Balas Games with a focus on long-term design and accessible global publishing. Doğn Can Yeginer"
Doğn Can Yeginer,Co-Founder & CEO at Elyzio,"Doğn Can Yeğner is the co-founder and CEO of ELYZIO, a next-generation game studio and publisher aiming to build a “gaming multiverse” through cutting-edge tech and partnerships. Founded in 2022 by former Google and Ubisoft veterans, ELYZIO recently secured $2 million in pre-seed funding, reflecting investor confidence in its ambitious vision. Under Doğn Can’s leadership, the company has launched its first title, Warden’s Will – a positively received multiplayer bullet-hell shooter – and unveiled a second game in development, Pera Coda, a narrative adventure pushing the boundaries of interactive storytelling.  Beyond its own games, ELYZIO also plans to partner with indie teams by providing comprehensive publishing support, helping turn bold ideas into global hits. With a background that spans marketing at Google and founding a prior game startup, Doğn Can brings both tech industry savvy and creative passion to driving ELYZIO’s mission of redefining the gaming landscape. Onur Can Çaylı"
Onur Can Çaylı,Partner/Art Director at Coreloop Partners,"Onur Can Caylıis a concept artist and art director with an MFA in Visual Effects and Animation from the Academy of Art University in San Francisco. He began his career at studios like Sony Pictures and DreamWorks, and has contributed to productions for Marvel, HBO, Netflix, Sega, and more.  His design work includes credits on titles such as Game of Thrones, Avengers: Age of Ultron, Ant-Man, The Amazing Spider-Man, Terminator Genisys, Men in Black 3, Marvel vs. Capcom, and Sonic."
